English,Marathi
Tom can't swim yet.,टॉम अजूनपर्यंत पोहू शकत नाही.
Tom can't swim yet.,टॉमला अजूनपर्यंत पोहता येत नाही.
Tom could tell you.,टॉम तुला सांगू शकेल.
Tom could tell you.,टॉम तुम्हाला सांगू शकेल.
Tom danced with me.,टॉम माझ्याबरोबर नाचला.
Tom decided to try.,टॉमने प्रयत्न करायचं ठरवलं.
Tom decided to try.,टॉमने प्रयत्न करायचा निर्णय घेतला.
Tom did that today.,टॉमने तसं आज केलं.
Tom did that today.,टॉमने ते आज केलं.
Tom didn't find me.,टॉमला मी सापडलो नाही.
Tom didn't find me.,टॉमला मी सापडले नाही.
Tom didn't go home.,टॉम घरी गेला नाही.
Tom didn't look up.,टॉमने वर पाहिलं नाही.
Tom didn't need it.,टॉमला गरज नव्हती.
Tom didn't see you.,टॉमला तू दिसला नाहीस.
Tom didn't see you.,टॉमला तू दिसली नाहीस.
Tom didn't see you.,टॉमने तुला बघितलं नाही.
Tom didn't see you.,टॉमने तुला पाहिलं नाही.
Tom died last year.,टॉम मागच्या वर्षी मेला.
Tom died last year.,टॉम मागच्या वर्षी वारला.
"Tom died, not Mary.","टॉम मेला, मेरी नाही."
"Tom died, not Mary.","टॉम वारला, मेरी नाही."
Tom doesn't gamble.,टॉम जुगार खेळत नाही.
Tom drank his wine.,टॉम त्याची वाईन प्यायला.
Tom gave us a book.,टॉमने आम्हाला एक पुस्तक दिलं.
Tom gave us a book.,टॉमने आपल्याला एक पुस्तक दिलं.
Tom gets up at six.,टॉम सहा वाजता उठतो.
Tom got Mary a job.,टॉमने मेरीला एक नोकरी मिळवून दिली.
Tom got up at dawn.,टॉम पहाटे उठला.
Tom got very angry.,टॉम खूप रागावला.
Tom had three aces.,टॉमकडे तीन एक्के आहेत.
Tom had three dogs.,टॉमकडे तीन कुत्रे होते.
Tom has a blue car.,टॉमकडे एक निळी गाडी आहे.
Tom has a cold now.,टॉमला आता सर्दी झाली आहे.
Tom has been found.,टॉम सापडला गेला आहे.
Tom has been lucky.,टॉमचं नशीब चांगलं राहिलं आहे.
Tom has black hair.,टॉमकडे काळे केस आहेत.
Tom has found Mary.,टॉमला मेरी सापडली आहे.
Tom has no brother.,टॉमला भाऊ नाहीये.
Tom has three cars.,टॉमकडे तीन गाड्या आहेत.
Tom has three cats.,टॉमकडे तीन मांजरी आहेत.
Tom has three cats.,टॉमकडे तीन बोके आहेत.
Tom has three cows.,टॉमकडे तीन गाई आहेत.
Tom has three dogs.,टॉमकडे तीन कुत्रे आहेत.
Tom hasn't changed.,टॉम बदलला नाहीये.
Tom helps the poor.,टॉम गरिबांची मदत करतो.
Tom is a cameraman.,टॉम कॅमेरामन आहे.
Tom is a chauffeur.,टॉम शोफर आहे.
Tom is a communist.,टॉम साम्यवादी आहे.
Tom is a good boss.,टॉम चांगला बॉस आहे.
Tom is a good cook.,टॉम खाणं चांगलं शिजवतो.
Tom is a hillbilly.,टॉम हिलबिली आहे.
Tom is a lucky man.,टॉम हा नशीबवान माणूस आहे.
Tom is a real poet.,टॉम हा खरा कवी आहे.
Tom is a real poet.,टॉम खरा कवी आहे.
Tom is a smart boy.,टॉम हुशार मुलगा आहे.
Tom is a socialist.,टॉम समाजवादी आहे.
Tom is a terrorist.,टॉम अतिरेकी आहे.
Tom is a true poet.,टॉम हा खरा कवी आहे.
Tom is a true poet.,टॉम खरा कवी आहे.
Tom is alright now.,टॉम आता ठीक आहे.
Tom is always here.,टॉम नेहमीच इथे असतो.
Tom is always nice.,टॉम नेहमीच चांगला असतो.
Tom is an engineer.,टॉम इंजिनियर आहे.
Tom is at my house.,टॉम माझ्या घरी आहे.
Tom is at my place.,टॉम माझ्या इथे आहे.
Tom is avoiding me.,टॉम मला टाळत आहे.
Tom is calling you.,टॉम तुला बोलवतोय.
Tom is calling you.,टॉम तुला फोन करतोय.
Tom is calling you.,टॉम तुम्हाला बोलवतोय.
Tom is calling you.,टॉम तुम्हाला फोन करतोय.
Tom is eating cake.,टॉम केक खातोय.
Tom is going blind.,टॉम आंधळा होत चालला आहे.
Tom is half-asleep.,टॉम अर्धा झोपेत आहे.
Tom is hardworking.,टॉम मेहनती आहे.
Tom is her brother.,टॉम तिचा भाऊ आहे.
Tom is her brother.,टॉम तिचा दादा आहे.
Tom is his brother.,टॉम त्याचा भाऊ आहे.
Tom is his brother.,टॉम त्याचा दादा आहे.
Tom is in his room.,टॉम त्याच्या खोलीत आहे.
Tom is in jail now.,टॉम आता तुरुंगात आहे.
Tom is in the park.,टॉम बागेत आहे.
Tom is in the room.,टॉम खोलीत आहे.
Tom is my favorite.,टॉम माझ्या आवडीचा आहे.
Tom is my favorite.,टॉम माझा सर्वात आवडता आहे.
Tom is my neighbor.,टॉम माझा शेजारी आहे.
Tom is my new boss.,टॉम माझा नवीन बॉस आहे.
Tom is not jealous.,टॉम मत्सरी स्वभावाचा नाही.
Tom is not jealous.,टॉमला मत्सर वाटत नाहीये.
Tom is on the roof.,टॉम छतावर आहे.
Tom is on the roof.,टॉम टेरेसवर आहे.
Tom is rarely late.,टॉमला क्वचितच उशीर होतो.
Tom is still angry.,टॉम अजूनही रागावलेला आहे.
Tom is still awake.,टॉम अजूनही जागा आहे.
Tom is the captain.,टॉम कॅप्टन आहे.
Tom is the captain.,टॉम कर्णधार आहे.
Tom is the captain.,टॉम संघनायक आहे.
Tom is there alone.,टॉम तिथे एकटा आहे.
Tom is unconscious.,टॉम बेशुद्ध आहे.
Tom is very famous.,टॉम अतिशय प्रसिद्ध आहे.
Tom isn't Canadian.,टॉम कॅनेडियन नाहीये.
Tom isn't a doctor.,टॉम डॉक्टर नाहीये.
Tom isn't drowning.,टॉम बुडत नाहीये.
Tom isn't fighting.,टॉम लढत नाहीये.
Tom isn't home now.,टॉम आता घरी नाहीये.
Tom isn't innocent.,टॉम निर्दोष नाहीये.
Tom isn't laughing.,टॉम हसत नाहीये.
Tom isn't sleeping.,टॉम झोपत नाहीये.
Tom kept on crying.,टॉम रडतच राहिला.
Tom kept the money.,टॉमने पैसे स्वतःबरोबर ठेवले.
Tom kept whistling.,टॉम शिटी वाजवत राहिला.
Tom kicked the can.,टॉमने कॅनला लात मारली.
Tom knew our names.,टॉमला आमची नावं माहीत होती.
Tom knew our names.,टॉमला आपली नावं माहीत होती.
Tom knows them all.,टॉमला ते सगळे माहीत आहेत.
Tom knows them all.,टॉमला त्या सगळ्या माहीत आहेत.
Tom knows them all.,टॉमला ती सगळी माहीत आहेत.
Tom laughed loudly.,टॉम जोरजोरात हसला.
Tom laughed loudly.,टॉम जोरात हसला.
Tom learned French.,टॉम फ्रेंच शिकला.
Tom left on Monday.,टॉम सोमवारी निघाला.
Tom likes espresso.,टॉमला एस्प्रेसो आवडतो.
Tom likes potatoes.,टॉमला बटाटे आवडतात.
Tom likes swimming.,टॉमला पोहायला आवडतं.
Tom likes to argue.,टॉमला भांडायला आवडतं.
Tom likes to study.,टॉमला अभ्यास करायला आवडतो.
Tom locked the car.,टॉमने गाडी लॉक केली.
Tom looks like you.,टॉम तुझ्यासारखा दिसतो.
Tom looks like you.,टॉम तुमच्यासारखा दिसतो.
Tom loved gambling.,टॉमला जुगार खेळायला खूप आवडायचा.
Tom loves gambling.,टॉमला जुगार खेळायला खूप आवडतो.
Tom loves gambling.,टॉमला जुगार खूप आवडतो.
Tom made Mary swim.,टॉमने मेरीला पोहायला लावलं.
Tom made a mistake.,टॉमने एक चूक केली.
Tom made a mistake.,टॉमने चूक केली.
Tom made an omelet.,टॉमने एक आमलेट बनवलं.
Tom makes me laugh.,टॉम मला हसवतो.
Tom makes me laugh.,टॉममुळे मला हसायला येतं.
Tom missed his son.,टॉमला त्याच्या मुलाची आठवण आली.
Tom needs a lawyer.,टॉमला एका वकिलाची गरज आहे.
Tom needs to study.,टॉमला अभ्यास करायची गरज आहे.
Tom never helps me.,टॉम कधीच माझी मदत करत नाही.
Tom opened his bag.,टॉमने आपली बॅग उघडली.
Tom opened his bag.,टॉमने आपली पिशवी उघडली.
Tom opened the bag.,टॉमने पिशवी उघडली.
Tom opened the bag.,टॉमने बॅग उघडली.
Tom ordered coffee.,टॉमने कॉफी मागवली.
Tom packed his bag.,त्याने त्याची बॅग भरली.
Tom packed his bag.,त्याने आपली बॅग भरली.
Tom packed his bag.,त्यांनी आपली बॅग भरली.
Tom packed his bag.,त्यांनी त्यांची बॅग भरली.
Tom plays football.,टॉम फुटबॉल खेळतो.
Tom proposed to me.,टॉमने मला प्रपोज केलं.
Tom put his hat on.,टॉमने आपली टोपी घातली.
Tom ran after Mary.,टॉम मेरीच्या मागे धावला.
Tom ran after Mary.,टॉम मेरीनंतर धावला.
Tom remained still.,टॉम स्थिर राहिला.
Tom resigned today.,आज टॉमने राजीनामा दिला.
Tom runs very fast.,टॉम अगदी वेगात धावतो.
Tom runs very fast.,टॉम अगदी वेगाने पळतो.
Tom runs very fast.,टॉम अगदी जोरात धावतो.
Tom said I was fat.,टॉम म्हणाला मी जाडा आहे.
Tom said I was fat.,टॉम म्हणाला मी जाडी आहे.
Tom sat on a chair.,टॉम एका खुर्चीवर बसला.
Tom sat to my left.,टॉम माझ्या डाव्या बाजूला बसला.
Tom skipped school.,टॉमने शाळेला दांडी मारली.
Tom started a fire.,टॉमने आग पेटवली.
Tom stayed at home.,टॉम घरी राहिला.
Tom stayed outside.,टॉम बाहेर राहिला.
Tom stayed outside.,टॉम बाहेरच राहिला.
Tom stood watching.,टॉम बघत उभा राहिला.
Tom studied French.,टॉमने फ्रेंचचा अभ्यास केला.
Tom studies French.,टॉम फ्रेंचचा अभ्यास करतो.
Tom talked to Mary.,टॉम मेरीशी बोलला.
Tom talked with me.,टॉम माझ्याशी बोलला.
Tom teaches French.,टॉम फ्रेंच शिकवतो.
"Tom thinks so, too.",टॉमलाही असंच वाटतं.
Tom threw the dart.,टॉमने डार्ट फेकला.
Tom told the truth.,टॉमने खरं सांगितलं.
Tom took Mary home.,टॉम मेरीला घरी घेऊन गेला.
Tom took Mary home.,टॉमने मेरीला घरी नेलं.
Tom took something.,टॉमने काहीतरी घेतलं.
Tom took the train.,टॉमने ट्रेन पकडली.
Tom tried to leave.,टॉमने निघायचा प्रयत्न केला.
Tom tried to sleep.,टॉमने झोपायचा प्रयत्न केला.
Tom turned serious.,टॉम गंभीर झाला.
Tom understands me.,टॉम मला समजतो.
Tom wanted answers.,टॉमला उत्तरं हवी होती.
Tom wanted to live.,टॉमला जगायचं होतं.
Tom wanted to stay.,टॉमला राहायचं होतं.
Tom wants a lawyer.,टॉमला वकील हवा आहे.
Tom wants evidence.,टॉमला पुरावा हवा आहे.
Tom wants this car.,टॉमला ही गाडी हवी आहे.
Tom wants to dance.,टॉमला नाचायचं आहे.
Tom wants to learn.,टॉमला शिकायचं आहे.
Tom wants to leave.,टॉमला निघायचं आहे.
Tom wants to watch.,टॉमला बघायचं आहे.
Tom was a good boy.,टॉम चांगला मुलगा होता.
Tom was a nice boy.,टॉम चांगला मुलगा होता.
Tom was also there.,टॉमसुद्धा तिथे होता.
Tom was also there.,टॉम ही तिकडे होता.
Tom was courageous.,टॉम धाडसी होता.
Tom was helping me.,टॉम माझी मदत करत होता.
Tom was in the car.,टॉम गाडीत होता.
Tom was in trouble.,टॉम गडबडीत होता.
Tom was pushing me.,टॉम मला ढकलत होता.
Tom was very funny.,टॉम एकदम मजेशीर होता.
Tom waved his arms.,टॉमने आपले हात हलवले.
Tom went on eating.,टॉम खात गेला.
Tom went somewhere.,टॉम कुठेतरी गेला.
Tom went to Boston.,टॉम बॉस्टनला गेला.
Tom will be asleep.,टॉम झोपलेला असेल.
Tom will catch you.,टॉम तुला पकडेल.
Tom will catch you.,टॉम तुम्हाला पकडेल.
Tom will help Mary.,टॉम मेरीची मदत करेल.
Tom will tell Mary.,टॉम मेरीला सांगेल.
Tom won't admit it.,टॉम कबूल करणार नाही.
Tom won't bite you.,टॉम तुला चावणार नाही.
Tom won't bite you.,टॉम तुम्हाला चावणार नाही.
Tom won't catch me.,टॉम मला पकडणार नाही.
Tom won't find out.,टॉमला कळणार नाही.
Tom won't get away.,टॉम सुटणार नाही.
Tom won't hit Mary.,टॉम मेरीला मारणार नाही.
Tom won't stop you.,टॉम तुला थांबवणार नाही.
Tom won't stop you.,टॉम तुम्हाला थांबवणार नाही.
Tom works at night.,टॉम रात्री काम करतो.
Tom works for Mary.,टॉम मेरीसाठी काम करतो.
Tom works for NASA.,टॉम नासासाठी काम करतो.
Tom wrote a letter.,टॉमने एक पत्र लिहिलं.
Tom wrote his name.,टॉमने आपलं नाव लिहिलं.
Tom's bus was late.,टॉमच्या बसला उशीर झाला.
Tom's dog has died.,टॉमचा कुत्रा मेला आहे.
Tom's hat blew off.,टॉमची टोपी उडून गेली.
Tom's nose was red.,टॉमचं नाक लाल होतं.
"Tom, where are you?","टॉम, कुठे आहेस तू?"
Tomorrow is Sunday.,उद्या रविवार आहे.
Turn off the alarm.,गजर बंद कर.
Turn off the alarm.,गजर बंद करा.
Turn off the radio.,रेडिओ बंद कर.
Turn off the radio.,रेडिओ बंद करा.
Turn the volume up.,आवाज वाढव.
Turn the volume up.,आवाज वाढवा.
Was his story true?,त्याची गोष्ट खरी होती का?
Was the movie good?,चित्रपट चांगला होता का?
Was the movie good?,पिक्चर चांगला होता का?
Was the soup tasty?,सूप चविष्ट होतं का?
Watch your fingers!,बोटं सांभाळ!
Watch your fingers!,बोटं सांभाळा!
We adopted a child.,आम्ही एक मूल दत्तक घेतलं.
We adopted a child.,आम्ही एका मूलाला दत्तक घेतलं.
We adopted a child.,आपण एक मूल दत्तक घेतलं.
We all cried a lot.,आम्ही सर्व भरपूर रडलो.
We argue every day.,आम्ही दररोज भांडतो.
We argue every day.,आपण दररोज भांडतो.
We ate potato soup.,आम्ही बटाट्याचं सूप प्यायलो.
We ate potato soup.,आपण बटाट्याचं सूप प्यायलो.
We ate some apples.,आम्ही थोडी सफरचंदे खालली.
We can do anything.,आपण काहीही करू शकतो.
We can do anything.,आम्ही काहीही करू शकतो.
We can't afford it.,आम्हाला ते परवडत नाही.
We can't afford it.,आपल्याला ते परवडत नाही.
We can't stay here.,आपण इथे राहू शकत नाही.
We can't stay here.,आम्ही इथे राहू शकत नाही.
We can't stop here.,आम्ही इथे थांबू शकत नाही.
We can't stop here.,आपण इथे थांबू शकत नाही.
We decided to stay.,आम्ही राहायचं ठरवलं.
We didn't find Tom.,आम्हाला टॉम सापडला नाही.
We didn't find Tom.,आपल्याला टॉम सापडला नाही.
We didn't kill Tom.,आम्ही टॉमला ठार मारलं नाही.
We didn't kill Tom.,आपण टॉमला ठार मारलं नाही.
We do not know her.,आम्ही तिला ओळखत नाही.
We do not know her.,आपण तिला ओळखत नाही.
We do not know him.,आम्ही त्याला ओळखत नाही.
We do not know him.,आपण त्याला ओळखत नाही.
We do not know him.,आम्ही त्यांना ओळखत नाही.
We do not know him.,आपण त्यांना ओळखत नाही.
We don't like rain.,आम्हाला पाऊस आवडत नाही.
We don't like rain.,आपल्याला पाऊस आवडत नाही.
We drank all night.,आम्ही रात्रभर प्यायलो.
We drank all night.,आपण रात्रभर प्यायलो.
We found her alive.,आम्हाला ती जिवंत सापडली.
We found her alive.,आपल्याला ती जिवंत सापडली.
We found her alive.,आम्हाला त्या जिवंत सापडल्या.
We found her alive.,आपल्याला त्या जिवंत सापडल्या.
We found him alive.,आम्हाला तो जिवंत सापडला.
We found him alive.,आम्हाला ते जिवंत सापडले.
We found something.,आम्हाला काहीतरी सापडलं.
We got many grapes.,आम्हाला भरपूर द्राक्ष मिळाली.
We got many grapes.,आपल्याला भरपूर द्राक्ष मिळाली.
We had lunch early.,आम्ही लवकर जेवलो.
We had lunch early.,आपण लवकर जेवलो.
We had lunch early.,आमचं जेवण लवकर झालं.
We had lunch early.,आपलं जेवण लवकर झालं.
We have everything.,आमच्याकडे सगळं आहे.
We have everything.,आमच्याकडे सर्वकाही आहे.
We have everything.,आपल्याकडे सगळं आहे.
We have everything.,आपल्याकडे सर्वकाही आहे.
We kept them quiet.,आम्ही त्यांना शांत ठेवतो.
We kept them quiet.,आपण त्यांना शांत ठेवतो.
We know everything.,आम्हाला सगळं माहीत आहे.
We know everything.,आपल्याला सगळं माहीत आहे.
We know who did it.,कोणी केलं हे आम्हाला माहीत आहे.
We know who did it.,कोणी केलं हे आपल्याला माहीत आहे.
We lost everything.,आम्ही सगळंच गमवून बसलो.
We lost everything.,आपण सगळंच गमवून बसलो.
We love each other.,आमचं एकमेकांवर प्रेम आहे.
We love each other.,आपलं एकमेकांवर प्रेम आहे.
We made you a cake.,आम्ही तुझ्यासाठी केक बनवला.
We made you a cake.,आम्ही तुमच्यासाठी केक बनवला.
We need more flour.,आम्हाला अजून पिठाची गरज आहे.
We need more flour.,आपल्याला अजून पिठाची गरज आहे.
We need more sugar.,आपल्याला अजून साखरेची गरज आहे.
We need more sugar.,आम्हाला अजून साखरेची गरज आहे.
We never use sugar.,आम्ही कधीही साखर वापरत नाही.
We never use sugar.,आपण कधीही साखर वापरत नाही.
We often eat pizza.,आम्ही खूपदा पिझ्झा खातो.
We often eat pizza.,आपण खूपदा पिझ्झा खातो.
We put our hats on.,आम्ही आमच्या टोप्या घातल्या.
We put our hats on.,आपण आपल्या टोप्या घातल्या.
We should tell Tom.,आपण टॉमला सांगायला हवं.
We should tell Tom.,आम्ही टॉमला सांगायला हवं.
We should tell Tom.,आपण टॉमला सांगितलं पाहिजे.
We should tell Tom.,आम्ही टॉमला सांगितलं पाहिजे.
We spoke in French.,आम्ही फ्रेंचमध्ये बोललो.
We spoke in French.,आपण फ्रेंचमध्ये बोललो.
We started to walk.,आम्ही चालायला सुरूवात केली.
We started to walk.,आपण चालायला सुरूवात केली.
We started to walk.,आम्ही चालायला लागलो.
We started to walk.,आपण चालायला लागलो.
We still have time.,आपल्याकडे अजूनही वेळ आहे.
We still have time.,आमच्याकडे अजूनही वेळ आहे.
We still have time.,अजूनही वेळ आहे.
We studied English.,आम्ही इंग्रजीचा अभ्यास केला.
We studied English.,आपण इंग्रजीचा अभ्यास केला.
We swam in the sea.,आम्ही समुद्रात पाहलो.
We swam in the sea.,आपण समुद्रात पोहलो.
We understand that.,आम्हाला ते समजतं.
We understood that.,आम्हाला ते समजलं.
We understood that.,आम्हाला ते कळलं.
We understood that.,आपल्याला ते समजलं.
We understood that.,आपल्याला ते कळलं.
We want to go home.,आम्हाला घरी जायचं आहे.
We want to go home.,आपल्याला घरी जायचं आहे.
We want to hear it.,आम्हाला ऐकायचं आहे.
We want to see Tom.,आम्हाला टॉमला बघायचं आहे.
We watched a movie.,आम्ही एक चित्रपट पाहिला.
We were happy then.,तेव्हा आम्ही खुश होतो.
We were happy then.,तेव्हा आपण खुश होतो.
We were happy then.,तेव्हा आपण सुखी होतो.
We were happy then.,तेव्हा आम्ही सुखी होतो.
We were in a hurry.,आम्ही घाईत होतो.
We were in a hurry.,आपण घाईत होतो.
We were very lucky.,आम्ही अगदी नशीबवान होतो.
We were very lucky.,आपण अतिशय नशीबवान होतो.
We were very tired.,आम्ही फारच थकलो होतो.
We were very tired.,आपण फारच थकलो होतो.
We were very tired.,आम्ही अगदी थकलेलो.
We were very tired.,आपण अगदी थकलेलो.
We were very tired.,आम्ही अतिशय थकून गेलेलो.
We were very tired.,आपण अतिशय थकून गेलेलो.
We won't be silent.,आम्ही शांत राहणार नाही.
We won't be silent.,आपण शांत राहणार नाही.
We'll have to wait.,आपल्याला थांबावं लागेल.
We'll have to wait.,आम्हाला थांबावं लागेल.
We'll let you know.,आम्ही तुला कळवू.
We'll let you know.,आम्ही तुम्हाला कळवू.
We'll meet at 2:30.,आपण २:३०ला भेटू.
We'll never forget.,आम्ही कधीही विसरणार नाही.
We'll never forget.,आपण कधीही विसरणार नाही.
We'll probably win.,आपण कदाचित जिंकू.
We'll probably win.,आम्ही कदाचित जिंकू.
We'll win for sure.,आपण नक्की जिंकू.
We'll win for sure.,आम्ही नक्की जिंकू.
We're all watching.,आम्ही सर्व बघत आहोत.
We're all watching.,आपण सर्व बघत आहोत.
We're all with you.,आम्ही सर्व तुझ्याबरोबर आहोत.
We're all with you.,आम्ही सगळे तुझ्याबरोबर आहोत.
We're all with you.,आम्ही सर्व तुमच्याबरोबर आहोत.
We're all with you.,आम्ही सगळे तुमच्याबरोबर आहोत.
We're all with you.,आम्ही सर्व तुमच्याबरोबरच आहोत.
We're all with you.,आम्ही सर्व तुमच्याबरोबर आहोतच.
We're all with you.,आम्ही सर्वच तुमच्याबरोबर आहोत.
We're all with you.,आम्ही सर्व तुझ्याबरोबर आहोतच.
We're all with you.,आम्ही सर्व तुझ्याबरोबरच आहोत.
We're all with you.,आम्ही सर्वच तुझ्याबरोबर आहोत.
We're almost ready.,आपण जवळजवळ तयार झालोच आहोत.
We're almost ready.,आम्ही जवळजवळ तयार झालोच आहोत.
We're already late.,आपल्याला आधीच उशीर झाला आहे.
We're always right.,आम्ही नेहमीच बरोबर असतो.
We're always right.,आपण नेहमीच अचूक असतो.
We're avoiding Tom.,आम्ही टॉमला टाळत आहोत.
We're avoiding Tom.,आपण टॉमला टाळत आहोत.
We're being hunted.,आपला शिकार केला जातोय.
We're both writers.,आम्ही दोघेही लेखक आहोत.
We're both writers.,आपण दोघेही लेखक आहोत.
We're both writers.,आम्ही दोघीही लेखिका आहोत.
We're both writers.,आपण दोघीही लेखिका आहोत.
We're contributing.,आम्ही योगदान करत आहोत.
We're contributing.,आपण योगदान करत आहोत.
We're going to die.,आपण मरणार आहोत.
We're going to die.,आम्ही मरणार आहोत.
We're going to win.,आपण जिंकणार आहोत.
We're going to win.,आम्ही जिंकणार आहोत.
We're just friends.,आम्ही तर फक्त मित्र आहोत.
We're just friends.,आपण तर फक्त मित्र आहोत.
We're just friends.,आम्ही फक्त मित्र आहोत.
We're just friends.,आपण फक्त मित्र आहोत.
We're limo drivers.,आम्ही लिमोझीन चालक आहोत.
We're limo drivers.,आपण लिमोझीन चालक आहोत.
We're not soldiers.,आम्ही सैनिक नव्हे.
We're not soldiers.,आपण सैनिक नव्हे.
We're on your side.,आम्ही तुमच्या पाठीशी आहोत.
We're on your side.,आम्ही तुझ्या पाठीशी आहोत.
We're on your side.,आम्ही तुमच्या बाजूने आहोत.
We're on your side.,आम्ही तुझ्या बाजूने आहोत.
We're proud of Tom.,आम्हाला टॉमचा अभिमान वाटतो.
We're proud of Tom.,आपल्याला टॉमचा आभिमान वाटतो.
We're really lucky.,आम्ही खरच नशीबवान आहोत.
We're really lucky.,आपण खरच नशीबवान आहोत.
We're under attack.,आमच्यावर हल्ला होत आहे.
We're your friends.,आम्ही तुमचे मित्र आहोत.
We're your friends.,आमची तुझे मित्र आहोत.
We've both seen it.,आपण दोघांनी पाहिलंय.
We've both seen it.,आम्ही दोघांनी पाहिलंय.
We've both seen it.,आम्ही दोघांनी बघितलंय.
We've both seen it.,आपण दोघांनी बघितलंय.
We've fed the fish.,आम्ही माशांना भरवलं आहे.
We've fed the fish.,आपण माशांना भरवलं आहे.
What I say is true.,मी जे म्हणतो ते खरं आहे.
What I say is true.,मी जे म्हणते ते खरं आहे.
What a lot of pens!,किती पेनं!
What a lot of pens!,किती पेनं आहेत!
What an idiot I am!,काय मूर्ख आहे मी!
What an idiot I am!,मी पण किती मूर्ख आहे!
What an idiot I am!,किती बावळट आहे मी!
What an idiot I am!,मी पण किती बावळत आहे!
What are the rules?,नियम काय आहेत?
What are you doing?,तू काय करत आहेस?
What are you doing?,तुम्ही काय करत आहात?
What are you doing?,आपण काय करताय?
What can I do here?,मी इथे काय करू शकतो?
What can I do here?,मी इथे काय करू शकते?
What can that mean?,त्याचा अर्थ काय असू शकतो?
What color is this?,हा कोणता रंग आहे?
What did they take?,त्यांनी काय घेतलं?
What did you bring?,तू काय आणलंस?
What did you bring?,तुम्ही काय आणलंत?
What did you bring?,काय आणलंस?
What did you bring?,काय आणलंत?
What did you learn?,काय शिकलास?
What did you learn?,काय शिकलीस?
What did you learn?,काय कळून आलं?
What did you learn?,तुम्ही काय शिकलात?
What did you learn?,काय शिकलात?
What do I call you?,मी तुम्हाला काय म्हणू?
What do I call you?,मी तुला काय म्हणू?
What do they think?,त्यांचा काय विचार आहे?
What does Tom know?,टॉमला काय माहीत आहे?
What does she have?,तिच्याकडे काय आहे?
What floor am I on?,मी कोणत्या मजल्यावर आहे?
What happened then?,मग काय झालं?
What is hemoglobin?,हिमोग्लोबिन काय असतं?
What is hemoglobin?,हिमोग्लोबिन म्हणजे?
What is hemoglobin?,हिमोग्लोबिन काय आहे?
What is over there?,ते तिथे काय आहे?
What is over there?,त्या बाजूला काय आहे?
What is your dream?,तुझं स्वप्न काय आहे?
What is your dream?,तुमचं स्वप्न काय आहे?
What movie is this?,हा कोणता चित्रपट आहे?
What narrow stairs!,किती अरुंद पायर्‍या आहेत!
What should I wear?,मी काय घालू?
What station is it?,कोणतं स्टेशन आहे?
What station is it?,कोणतं स्थानक आहे?
What time is lunch?,जेवण किती वाजता आहे?
What was Tom doing?,टॉम काय करत होता?
What was discussed?,कशाची चर्चा झाली?
What were you told?,तुला काय सांगितलं गेलं होतं?
What were you told?,तुम्हाला काय सांगितलं होतं?
What were you told?,तुला काय सांगण्यात आलं होतं?
What were you told?,तुम्हाला काय सांगण्यात आलं होतं?
What will you make?,तू काय बनवशील?
What will you make?,तुम्ही काय बनवाल?
What will you wear?,तू काय घालशील?
What will you wear?,तुम्ही काय घालाल?
What would you say?,तुम्ही काय म्हणाल?
What would you say?,तू काय म्हणशील?
What're you saying?,तू काय म्हणत आहेस?
What're you saying?,तुम्ही काय म्हणत आहात?
What's Tom reading?,टॉम काय वाचतोय?
What's Tom selling?,टॉम काय विकतोय?
What's a porcupine?,साळिंदर काय असतो?
What's in the file?,फायलीत काय आहे?
What's that flower?,ते कोणतं फूल आहे?
What's this called?,याला काय म्हणतात?
What's your answer?,तुझं उत्तर काय आहे?
What's your answer?,तुमचं उत्तर काय आहे?
What's your number?,तुझा नंबर काय आहे?
What's your number?,तुमचा कितवा नंबर आहे?
What's your number?,तुझा कितवा नंबर आहे?
What's your number?,तुमचा नंबर काय आहे?
When can I do this?,हे मी कधी करू शकतो?
When can I do this?,हे मी कधी करू शकते?
When did Tom leave?,टॉम केव्हा निघाला?
When did you begin?,तुम्ही सुरुवात केव्हा केली?
When did you begin?,तू सुरुवात केव्हा केलीस?
When does it begin?,सुरू कधी होतं?
When is Tom coming?,टॉम कधी येतोय?
When is happy hour?,हॅपी आवर कधी आहे?
When is my surgery?,माझी सर्जरी कधी आहे?
When is my surgery?,माझी सर्जरी केव्हा आहे?
When were you born?,तुम्ही कधी जन्माला आलात?
When were you born?,तू कधी जन्माला आलास?
When were you born?,तुझा जन्म कधी झाला होता?
When were you born?,तुमचा जन्म कधी झाला होता?
When will Tom come?,टॉम कधी येईल?
When will Tom come?,टॉम केव्हा येईल?
When will it begin?,सुरू कधी होणार आहे?
When's the wedding?,लग्न कधी आहे?
Where are my books?,माझी पुस्तकं कुठे आहेत?
Where are my shoes?,माझी बुटं कुठे आहेत?
Where are my socks?,माझे मोजे कुठे आहेत?
Where are the Alps?,अ‍ॅल्प्स कुठे आहेत?
Where are the boys?,मुलं कुठे आहेत?
Where are the cops?,पोलीस कुठे आहेत?
Where are the guns?,बंदुका कुठे आहेत?
Where are the keys?,चाव्या कुठे आहेत?
Where are the kids?,मुलं कुठे आहेत?
Where are the kids?,मुलं कुठे गेली?
Where are we going?,आपण कुठे जात आहोत?
Where are we going?,आम्ही कुठे जात आहोत?
Where are you from?,तू कुठचा आहेस?
Where are you from?,तू कुठची आहेस?
Where are you from?,तुम्ही कुठचे आहात?
Where do I go then?,मग मी कुठे जाऊ?
